federal_account_symbol,account_title,agency,bureau
014-0803,"Surveys, Investigations and Research-Recovery Act, U.S. Geological Survey, Interior",Department of the Interior,U. S. Geological Survey
014-0804,"Surveys, Investigations and Research, U.S. Geological Survey",Department of the Interior,U. S. Geological Survey
014-0804,"Surveys, Investigations, and Research, Geological Survey",Department of the Interior,U. S. Geological Survey
014-0804,"Surveys, Investigations, and Research, Geological Survey, Interior",Department of the Interior,U. S. Geological Survey
014-0959,"Mines and Minerals, Bureau of Mines, Interior",Department of the Interior,Departmental Offices
014-1031,"Operation of the National Park System, National Park Service, Interior",Department of the Interior,National Park Service
014-1031,"Urban Park and Recreation Fund, National Park Service, Interior",Department of the Interior,National Park Service
014-1034,"Contribution for Annuity Benefits, National Park Service, Interior",Department of the Interior,National Park Service
014-1035,"Operation of the National Park System-Recovery Act, National Park Service, Interior",Department of the Interior,National Park Service
014-1036,"Operation of the National Park System, National Park Service, Interior",Department of the Interior,National Park Service
014-1039,"Construction, National Park Service, Interior",Corps of Engineers,Reports and Analysis Office
014-1041,"Construction-Recovery Act, National Park Service, Interior",Department of the Interior,National Park Service
014-1042,"National Recreation and Preservation, National Park Service",Department of the Interior,National Park Service
014-1042,"National Recreation and Preservation, National Park Service, Interior",Department of the Interior,National Park Service
014-1046,"Historic Preservation Fund, National Park Service, Interior",Department of the Interior,National Park Service
014-1049,"United States Park Police, National Park Service, Interior",Department of the Interior,National Park Service
014-1051,"Federal Infrastructure Improvement, National Park Service, Interior",Department of the Interior,National Park Service
014-1108,"Management of Lands and Resources-Recovery Act, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-1109,"Management of Land and Resources, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-1109,"Management of Lands and Resources, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1109,"Management of Lands and Resources, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-1110,"Construction, Bureau of Land Management",Department of Transportation,Federal Highway Administration
014-1112,"Construction-Recovery Act, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-1113,"Office of Natural Resources Revenue, Department-Wide Programs, Interior",Department of the Interior,Department-Wide Programs
014-1114,"Payments in Lieu of Taxes, Departmental Management",Department of the Interior,Department-Wide Programs
014-1116,"Oregon and California Grant Lands, Bureau of Land Management",Department of Transportation,Federal Highway Administration
014-1117,"Special Acquisition of Lands and Minerals, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1118,"Cook Inlet Region, Incorporated Property Account, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1119,"Fire Protection, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1120,"Emergency Department of the Interior Firefighting Fund, Bureau of Land Management",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-1121,"Central Hazardous Materials Fund, Department-Wide Programs, Interior",Department of the Interior,Departmental Offices
014-1125,"Departmental Offices, Interior",Department of the Interior,Department-Wide Programs
014-1125,"Wildland Fire Management, Department-Wide Programs, Interior",Department of the Interior,Departmental Offices
014-1126,"Wildland Fire Management-Recovery Act, Office of the Secretary, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-1127,"Flame Wildfire Suppression Reserve Fund, Department-Wide Programs, Interior",Department of the Interior,Department-Wide Programs
014-1128,"Federal Infrastructure Improvement, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1140,"Calista Corporation Property Account, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1143,"Interest on Escrowed Fund, National Petroleum Reserve-Alaska, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-1610,"Resource Management-Recovery Act, United States Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-1611,"Resource Management, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-1611,"Resource Management, United States Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-1612,"Construction, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-1613,"Construction - Recovery Act, United States Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-1618,"Natural Resource Damage Assessment Fund, Natural Resource Damage Assessment and Restoration, Interior",Department of the Interior,Bureau of Land Management
014-1650,"Wildlife Conservation and Appreciation Fund, U. S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-1652,"Multinational Species Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-1691,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-1696,"Neotropical Migratory Bird Conservation, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-1700,"Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior",Department of the Interior,Bureau of Safety and Environmental Enforcement
014-1801,"Regulation and Technology, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-1801,"Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-1802,"Abandoned Mine Reclamation, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-1803,"Payments in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-1804,"Supplemental Payments to UMWA Health Plans, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-1917,"Ocean Energy Management, Bureau of Ocean Energy Management, Interior",Department of the Interior,Bureau of Ocean Energy Management
014-1920,"Oil Spill Research, Bureau of Safety and Environmental Enforcement",Department of the Interior,Bureau of Safety and Environmental Enforcement
014-2010,"Indian Education Scholarship Holding Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,BUREAU OF TRUST FUNDS ADMINISTRATION
014-2100,"Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2101,"Operation of Indian Programs-Recovery Act, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2101,"Operation of Indian Programs-Recovery Act, Bureau of Indian Affairs,Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2101,"Operations of Indian Programs-Recovery Act, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2103,"Indian Land Consolidation, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2105,"Education Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,BUREAU OF INDIAN EDUCATION
014-2106,"Operation of Indian Education Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,BUREAU OF INDIAN EDUCATION
014-2106,"Operation of Indian Education Programs, Bureau of Indian Education, Interior",Department of the Interior,BUREAU OF INDIAN EDUCATION
014-2204,"White Earth Economic Development and Tribal Government Fund, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2240,"Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2301,"Construction, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2301,"Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2302,"Construction-Recovery Act, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2303,"Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2305,"Payment to Tribal Economic Recovery Funds, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2368,"Payment to the Navajo Rehabilitation Trust Fund, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2623,"Claims and Treaty Obligations, Bureau of Indian Affairs (Indefinite)",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2627,"Indian Direct Loan Program Account, Bureau of Indian Affairs Department of the Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2627,"Indian Direct Loan Program Account, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2628,"Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2629,"Indian Guaranteed Loan Program Account-Recovery Act, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2631,"WMAT Settlement Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2632,"WMAT Maintenance Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2633,"Crow Settlement Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2634,"Taos Pueblo Water Development Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2635,"Payment to Tribe, Crow Creek Sioux Trust Fund, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2637,"Aamodt Settlement Pueblos' Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-2638,"Taos Settlement Fund, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-2640,"Abandoned Well Remediation Fund, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-2641,"Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-2641,"Energy Community Revitalization Program,  Department-Wide Programs, Interior",Department of the Interior,Office of the Solicitor
014-2645,"Centennial Challenge, National Park Service, Interior",Department of the Interior,National Park Service
014-2699,"Indian Water Rights Settlement Completion Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-3906,"Consolidated Working Fund, Interior, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-3910,"Consolidated Working Fund, Interior, National Park Service",Department of the Interior,National Park Service
014-4053,"Helium Fund, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-4079,"Lower Colorado River Basin Development Fund, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-4081,"Upper Colorado River Basin Fund, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-4195,"National Law Enforcement Officers Memorial Maintenance Fund, National Park Service",Department of the Interior,National Park Service
014-4409,"Revolving Fund for Loans, Liquidating Account, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-4410,"Indian Loan Guaranty and Insurance Fund, Liquidating Account, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-4488,"Visitor Experience Improvements Fund, National Park Service, Interior",Department of the Interior,National Park Service
014-4523,"Working Capital Fund, Departmental Management",Department of the Interior,Department-Wide Programs
014-4524,"Working Capital Fund, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-4525,"Working Capital Fund, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-4529,"Interior Franchise Fund, Departmental Management",Department of the Interior,Departmental Offices
014-4556,"Working Capital Fund, Geological Survey",Department of the Interior,U. S. Geological Survey
014-5003,"Payments to States from Receipts Under Mineral Leasing, Public and Acquired Military Lands, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5006,"Planning, Development and Operation of Recreation Facilities, National Park Service",Department of the Interior,National Park Service
014-5015,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement",Department of Agriculture,DEPARTMENT OF AGRICULTURE
014-5016,"Payments to States from Grazing Receipts, Etc., Public Lands Outside Grazing Districts, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5017,"Service Charges, Deposits and Forfeitures, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5018,"Expenses, Road Maintenance Deposits, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5020,"Land Acquisition, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5029,"Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5032,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5033,"Land Acquisition, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5035,"Land Acquisition and State Assistance, National Park Service",Corps of Engineers,Reports and Analysis Office
014-5044,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Miscellaneous, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5045,"Payments to Alaska from Oil and Gas Leases, National Petroleum Reserve, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5048,"Operation and Maintenance of Quarters, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5049,"Operation and Maintenance of Quarters, National Park Service",Department of the Interior,National Park Service
014-5050,"Operation and Maintenance of Quarters, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5051,"Operation and Maintenance of Quarters, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5053,"Operation and Maintenance of Quarters, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-5055,"Operation and Maintenance of Quarters, Geological Survey",Department of the Interior,U. S. Geological Survey
014-5058,"Operation, Maintenance, and Replacement of Project Works, North Platte Project (Gering and Fort Laramie, Goshen, and Pathfinder Irrigation Districts), Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5059,"Payments to Farmers' Irrigation District (North Platte Project, Neb.-Wyo.), Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5063,"Regulation and Technology, Civil Penalties, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Office of Surface Mining Reclamation & Enforcement
014-5065,"Policy and Administration, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-5076,"Delaware Water Gap Route 209 Operations, National Park Service",Department of the Interior,National Park Service
014-5079,"Construction, National Park Service",Department of the Interior,National Park Service
014-5091,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5092,"Proceeds from Sales, Water Resource Development Projects, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5103,"Payments to Local Units, Klamath Reclamation Area, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5107,"Operation of the National Park System, National Park Service",Department of the Interior,National Park Service
014-5109,"Recreation Enhancement Fee Program, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5110,"Recreation Enhancement Fee Program, National Park Service",Department of the Interior,National Park Service
014-5129,"Payments to State and County from Clark County, Nevada Land Sales, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5130,"Indian Arts and Crafts Fund, Departmental Management",Department of the Interior,Departmental Offices
014-5132,"Range Improvements, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5133,"Payments to States (Proceeds of Sales), Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5134,"Payment to Oklahoma (Royalties), Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5137,"Migratory Bird Conservation Account, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5140,"Historic Preservation Fund, National Park Service",Department of the Interior,National Park Service
014-5141,"National Indian Gaming Commission, Gaming Activity Fees",Department of the Interior,Departmental Offices
014-5143,"Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5157,"Lahontan Valley and Pyramid Lake Fish and Wildlife Fund, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5163,"Park Buildings Lease and Maintenance Fund, National Park Service",Department of the Interior,National Park Service
014-5164,"Transportation Systems Fund, National Park Service",Department of the Interior,National Park Service
014-5165,"Forest Ecosystems Health and Recovery, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5169,"Concessioner Improvement Accounts, National Park Service",Department of the Interior,National Park Service
014-5173,"Central Valley Project Restoration Fund, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5174,"Utah Reclamation Mitigation and Conservation Account, Interior",Department of the Interior,Bureau of Reclamation
014-5198,"Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary",Department of the Interior,Bureau of Land Management
014-5232,"Southern Nevada Public Land Management, Bureau of Land Management",Department of Transportation,Federal Transit Administration
014-5233,"Everglades Restoration Account, Office of the Secretary",Department of the Interior,Departmental Offices
014-5240,"Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T)",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5241,"North American Wetlands Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5242,"Alaska Resupply Program, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5243,"Payments to States, National Forest Fund, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5244,"National Maritime Heritage Grants Program, National Park Service",Department of the Interior,National Park Service
014-5247,"User Fees for Filming and Photography on Public Lands, National Park Service",Department of the Interior,National Park Service
014-5248,"Payments to States, Flood Control Act of 1954, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5249,"Timber Sales Pipeline Restoration Fund, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5252,"Recreation Fee Enhancement Program, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5260,"Federal Land Disposal Account, Bureau of Land Management",Department of the Interior,U. S. Fish & Wildlife Service
014-5262,"National Park Passport Program, National Park Service",Department of the Interior,National Park Service
014-5265,"Tribal Special Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,BUREAU OF TRUST FUNDS ADMINISTRATION
014-5294,"Use of Receipts from Mineral Leasing Activities on Certain Naval Oil Shale Reserves, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5397,"White Pine County Special Account, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5412,"Glacier Bay National Park, National Park Service",Department of the Interior,National Park Service
014-5413,"Recreation Enhancement Fee Program, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5425,"Environmental Improvement and Restoration Fund, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5430,"Water and Related Resources, Reclamation Fund, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5431,"Park Concessions Franchise Fees, National Park Service",Department of the Interior,National Park Service
014-5435,"African Elephant Conservation Fund, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5455,"Dutch John Federal Property Disposition and Assistance, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5463,"Filming and Photography Fee Program, Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-5469,"Lincoln County Land Act, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5470,"White River Oil Shale Mine, Utah Sales, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5474,"State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5475,"North American Wetlands Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5476,"Urban Park and Recreation Fund, from Land and Water Conservation Fund, National Park Service",Department of the Interior,National Park Service
014-5477,"Historic Preservation Fund, from Land and Water Conservation Fund, National Park Service",Department of the Interior,National Park Service
014-5479,"Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5481,"Federal Infrastructure Improvement, from Land and Water Conservation Fund, National Park Service",Department of the Interior,National Park Service
014-5483,"San Gabriel Basin Restoration Fund, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5485,"Title II Projects on Federal Lands, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5488,"Payments to Alaska, Arctic National Wildlife Refuge, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5489,"Payments to Alaska, Cook Inlet Leasing",Department of the Interior,Office of Natural Resources Revenue
014-5494,"Exotic Bird Conservation Fund, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5495,"Private Stewardship Grants, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5496,"Landowner Incentive Program, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5501,"Community Partnership Enhancement, U.S. Fish and Wildlife Service",Department of the Interior,U. S. Fish & Wildlife Service
014-5505,"Indian Water Rights and Habitat Acquisition Program, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5506,"Stewardship Contracting Product Sales, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5535,"State's Share from Certain Gulf of Mexico Leases, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5536,"Outer Continental Shelf Revenues, LWCF Share from Certain Leases, National Park Service",Department of the Interior,National Park Service
014-5537,"San Joaquin River Restoration Fund, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-5541,"Historic Preservation Fund-Recovery Act, National Park Service, Interior",Department of the Interior,National Park Service
014-5554,"Washington County, Utah Land Acquisition Account, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5556,"Owyhee Land Acquisition Account, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5558,"Carson City Special Account, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5559,"Silver Saddle Endowment Account, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5561,"State Share, Carson City Land Sales, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5571,"Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior",Department of the Interior,Departmental Offices
014-5573,"Permit Processing Fund, Bureau of Land Management",Corps of Engineers,Reports and Analysis Office
014-5574,"Geothermal Lease Revenues, Payment to Counties, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-5575,Geothermal Steam Implementation Fund,Department of the Interior,Bureau of Land Management
014-5576,Naval Petroleum Reserve Numbered 2 Lease Revenue Account,Department of the Interior,Bureau of Land Management
014-5579,"Coastal Impact Assistance, Fish and Wildlife Service, Interior",Department of the Interior,U. S. Fish & Wildlife Service
014-5593,"Reclamation Water Settlements Fund, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-5609,"Emery County, Utah, Land Acquisition Account, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5611,"San Juan County, New Mexico Federal Land Conveyance, Bureau of Land Management, Interior",Department of the Interior,Bureau of Land Management
014-5612,"Ojito Land Acquisition, Interior",Department of the Interior,Bureau of Land Management
014-5614,"Decommissioning Activities, Bureau of Ocean Energy Management, Interior",Department of the Interior,Bureau of Safety and Environmental Enforcement
014-5620,"Navajo Utah Settlement Trust Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5621,"Operation and Maintenance of Quarters, Bureau of Indian Education, Interior",Department of the Interior,BUREAU OF INDIAN EDUCATION
014-5624,"Aging Infrastructure Account, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-5637,"High-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5638,"Low-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5639,"Indian Irrigation Fund, Bureau of Indian  Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5639,"Indian Irrigation Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5648,"Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5656,"Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5662,"Payment from Proceeds, Sale of Water, Mineral Leasing Act of 1920, Sec. 40(D), Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5663,"Educational Expenses, Children of Employees, Yellowstone National Park, National Park Service",Department of the Interior,National Park Service
014-5666,"Payment for Tax Losses on Land Acquired for Grand Teton National Park, National Park Service",Department of the Interior,National Park Service
014-5667,"Operation, Management, Maintenance, and Demolition of Federally Acquired Properties, Independence National Historical Park, National Park Service",Department of the Interior,National Park Service
014-5668,"Blackfeet Water Settlement Implementation Fund, Bureau of Reclamation, Interior",Department of the Interior,Bureau of Reclamation
014-5670,"Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior",Department of the Interior,BUREAU OF TRUST FUNDS ADMINISTRATION
014-5685,"Loan Program Account, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-5715,"National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior",Department of the Interior,Department-Wide Programs
014-5740,"Selis-Qlispe Ksanka Settlement Trust Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-5762,"National Park Medical Services Fund, National Park Service, Interior",Department of the Interior,National Park Service
014-5884,"Payments to Counties, Oregon and California Grant Lands, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5896,"Payments to Counties, National Grasslands, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-5898,"Payments to Coos and Douglas Counties, Oregon, from Receipts, Coos Bay Wagon Road Grant Lands, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-6029,"Deposit of Revenues Received from Mineral Leases on Lands Withdrawn for Alaskan Native Selection, Office of Natural Resources Revenue, Interior",Department of the Interior,Office of Natural Resources Revenue
014-6039,"Individual Indian Money, Bureau of Indian Affairs",Department of the Interior,Office of Special Trustee for American Indians
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Bureau of Indian Affairs",Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Bureau of Land Management",Department of the Interior,Bureau of Land Management
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Bureau of Ocean Energy Management, Interior",Department of the Interior,Bureau of Ocean Energy Management
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Bureau of Reclamation",Department of the Interior,Bureau of Reclamation
014-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, National Park Service",Department of the Interior,National Park Service
